timestamp,epoch,glacier,subset,loss,total_annual_error,total_annual_n,total_annual_mse,point_annual_error,point_annual_n,point_annual_mse,total_winter_error,total_winter_n,total_winter_mse,point_winter_error,point_winter_n,point_winter_mse,total_summer_error,total_summer_n,total_summer_mse,point_summer_error,point_summer_n,point_summer_mse,reg_ti
2025-11-15 18:43:08.388848,0,Dyngjujokull,val,8.975792,40.74003,23,1.7713056,218.6286,58.781544,3.7193408,0.9282628,15,0.06188419,6.030085,59.354633,0.10159417,33.02913,16,2.0643206,196.93663,61.42556,3.2061021,0.0
2025-11-15 18:43:18.897290,0,Kongsvegen,val,0.66293246,8.364456,13,0.64341974,0,0,,0.24806254,13,0.019081734,0,0,,8.623725,13,0.66336346,0,0,,0.0
2025-11-15 18:43:29.481868,0,Nigardsbreen,val,3.5389965,21.115564,30,0.7038522,330.91583,208.07549,1.5903643,12.803543,29,0.4415015,169.77219,195.505,0.8683777,3.9248476,29,0.13533957,83.68935,190.24286,0.43990794,0.0
2025-11-15 18:43:37.306887,0,Argentiere,val,1.6207377,6.8003097,30,0.226677,558.4342,370.46207,1.5073992,0,0,,0,0,,0,0,,0,0,,0.0
2025-11-15 18:43:43.705306,0,Plaine Morte glacier de La,val,3.5959048,8.9909115,15,0.59939414,48.599716,68.0,0.7147017,3.6898782,15,0.2459919,25.729141,179.41893,0.1434026,17.728165,15,1.1818777,27.586697,16.0,1.7241685,0.0
2025-11-15 18:43:54.177544,0,Austdalsbreen,val,2.668505,27.938168,30,0.9312723,83.96813,72.92214,1.1514765,12.799759,29,0.441371,31.390991,80.800255,0.38850114,6.52951,29,0.22515552,24.113054,73.15236,0.32962784,0.0
2025-11-15 18:43:56.811461,0,Kesselwand F,val,1.3999072,9.994247,30,0.3331416,220.18123,178.52487,1.2333364,0,0,,0,0,,0,0,,0,0,,0.0
2025-11-15 18:44:05.406362,0,Gietro,val,6.55258,27.944027,30,0.9314676,1142.9713,209.85342,5.4465218,1.2274671,25,0.04909868,0,0,,30.788721,25,1.2315488,0,0,,0.0
2025-11-15 18:44:13.961949,0,Malavalle Vedr DI Uebeltalf,val,1.6544912,5.712303,23,0.248361,403.2521,504.0,0.8001034,1.955586,20,0.0977793,17.02897,162.0,0.105117105,4.5414934,20,0.22707467,74.95144,162.0,0.4626632,0.0
2025-11-15 18:44:20.355089,0,Ries Occ Vedr DI Rieserf Westl,val,0.9403856,2.9199524,16,0.18249702,95.56459,287.18103,0.33276775,2.2807293,13,0.17544073,10.309601,95.38864,0.10807997,1.9062197,13,0.1466323,23.736275,96.0,0.24725287,0.0
2025-11-15 18:44:21.712390,0,Kessjen,val,0.78775287,0.48967567,1,0.48967567,0,0,,0.08914556,1,0.08914556,0,0,,0.99668443,1,0.99668443,0,0,,0.0
2025-11-15 18:44:26.428814,0,Grand Etret,val,1.1383938,2.8191984,9,0.31324425,11.6697,22.0,0.5304409,1.0775007,7,0.15392868,5.015205,19.0,0.26395816,1.545714,7,0.2208163,0,0,,0.0
2025-11-15 18:44:36.515274,0,Maladeta,val,3.4554956,99.24956,28,3.5446272,0,0,,82.09012,27,3.0403748,0,0,,8.80171,27,0.32598928,0,0,,0.0
2025-11-15 18:45:33.413603,1,Bruarjokull,train,17.256691,89.75184,30,2.991728,1879.2982,232.70856,8.075759,0.27161512,19,0.014295532,298.23795,242.56241,1.2295307,61.445896,20,3.072295,1229.3142,250.25516,4.9122434,0.0
2025-11-15 18:49:23.261365,1,Langjokull ice cap,train,7.973978,46.052837,27,1.7056607,843.73425,353.08533,2.3896043,8.181953,26,0.31469053,228.26291,420.39786,0.5429688,80.96608,26,3.1140802,1059.0757,428.04953,2.4741895,0.0
2025-11-15 18:49:53.020965,1,Tungnaarjokull,train,18.515244,77.403465,28,2.7644095,391.78586,44.60918,8.782628,0.78698593,19,0.041420314,21.700905,61.96137,0.3502328,57.348885,20,2.8674443,424.13165,64.79501,6.5457454,0.0
2025-11-15 18:50:50.807683,1,Nordenskioeldbreen,train,2.3830805,6.2876177,13,0.4836629,106.898636,90.0,1.1877626,0.32864732,13,0.025280563,6.6085653,86.52905,0.07637394,3.9791281,13,0.30608678,59.469162,83.59117,0.71142876,0.0
2025-11-15 18:52:08.965090,1,Koldukvislarj,train,13.985395,88.299545,30,2.9433184,722.87555,124.05041,5.827273,0.88506794,21,0.042146094,25.590952,130.0806,0.19673151,72.39122,22,3.2905102,634.13245,131.4699,4.8234043,0.0
2025-11-15 18:53:12.264886,1,Hofsjoekull E,train,9.594587,29.70586,30,0.9901954,484.2139,126.62928,3.82387,6.8009963,30,0.22669989,83.03771,133.44992,0.62223876,57.634777,30,1.9211594,467.55493,130.62196,3.579451,0.0
2025-11-15 18:53:29.057041,1,Eyjabakkajokull,train,10.865877,61.645565,27,2.283169,332.70245,77.28858,4.304678,2.1669464,19,0.114049815,34.253624,84.920746,0.4033599,58.651505,20,2.9325752,304.04553,87.04567,3.4929428,0.0
2025-11-15 18:53:41.652225,1,Corbassiere,train,2.8896832,17.66113,28,0.6307547,384.3438,177.60979,2.1639788,0.5240188,22,0.023819039,0,0,,17.530367,22,0.7968349,0,0,,0.0
