timestamp,epoch,glacier,subset,loss,point_annual_error,point_annual_mse,point_annual_n,point_summer_error,point_summer_mse,point_summer_n,point_winter_error,point_winter_mse,point_winter_n,reg_ti,total_annual_error,total_annual_mse,total_annual_n,total_summer_error,total_summer_mse,total_summer_n,total_winter_error,total_winter_mse,total_winter_n
2025-12-11 13:38:52.394743,0,Rembesdalskaaka,train,3.3342135,56.677673,1.5422459,36.750088,11.808782,0.31982887,36.922188,48.346207,1.309408,36.922188,0.00028160497,10.235819,0.5686566,18,3.4947205,0.19415113,18,15.510326,0.8616848,18
2025-12-11 13:38:54.705914,0,Rembesdalskaaka,val,3.0772026,10.331382,1.7474263,5.912342,0.93885636,0.109416366,8.580585,11.200119,1.0127684,11.058914,0.00042475254,5.686495,0.94774914,6,0.3460515,0.057675254,6,6.397451,1.0662419,6
2025-12-11 13:39:22.313123,1,Rembesdalskaaka,train,3.2699177,54.77378,1.4904394,36.750088,12.426787,0.33656693,36.922188,47.48506,1.2860848,36.922188,0.00042475254,9.303315,0.5168508,18,3.748006,0.20822257,18,15.101016,0.8389453,18
2025-12-11 13:39:22.431222,1,Rembesdalskaaka,val,2.929072,9.655503,1.6331098,5.912342,0.920771,0.107308656,8.580585,10.968531,0.9918271,11.058914,0.00050378346,5.1827407,0.86379015,6,0.3768045,0.06280075,6,6.219801,1.0366335,6
2025-12-11 13:39:23.132160,2,Rembesdalskaaka,train,3.2119076,53.021362,1.4427546,36.750088,13.092337,0.35459265,36.922188,46.633823,1.2630298,36.922188,0.00050378346,8.457155,0.46984196,18,4.0294976,0.22386098,18,14.698133,0.81656295,18
2025-12-11 13:39:23.208377,2,Rembesdalskaaka,val,2.7941763,9.037071,1.5285096,5.912342,0.91871244,0.10706875,8.580585,10.739776,0.971142,11.058914,0.0008803517,4.73328,0.78888005,6,0.41654447,0.06942408,6,6.0447183,1.0074531,6
2025-12-11 13:39:23.872163,3,Rembesdalskaaka,train,3.1599853,51.46496,1.4004036,36.750088,13.7438755,0.37223893,36.922188,45.788822,1.2401438,36.922188,0.0008803517,7.720687,0.42892706,18,4.316917,0.23982872,18,14.299757,0.794431,18
2025-12-11 13:39:23.949064,3,Rembesdalskaaka,val,2.6767075,8.502741,1.4381342,5.912342,0.92757577,0.108101696,8.580585,10.514365,0.9507593,11.058914,0.0015795808,4.3578444,0.7263074,6,0.45737997,0.07623,6,5.872737,0.9787895,6
2025-12-11 13:39:24.617339,4,Rembesdalskaaka,train,3.1121871,50.112797,1.3636103,36.750088,14.3013115,0.38733652,36.922188,44.950817,1.2174473,36.922188,0.0015795808,7.115839,0.39532438,18,4.5761657,0.25423142,18,13.90646,0.7725811,18
2025-12-11 13:39:24.697169,4,Rembesdalskaaka,val,2.578529,8.069047,1.3647802,5.912342,0.9383775,0.10936055,8.580585,10.293129,0.930754,11.058914,0.0025652666,4.069516,0.6782527,6,0.48973942,0.08162324,6,5.7048655,0.9508109,6
2025-12-11 13:39:25.379246,5,Rembesdalskaaka,train,3.0663624,48.960037,1.3322427,36.750088,14.694801,0.39799377,36.922188,44.121754,1.1949929,36.922188,0.0025652666,6.652057,0.36955872,18,4.770665,0.26503697,18,13.5194645,0.75108135,18
2025-12-11 13:39:25.465349,5,Rembesdalskaaka,val,2.4986634,7.7359014,1.3084327,5.912342,0.9434643,0.10995338,8.580585,10.076629,0.91117704,11.058914,0.0038263525,3.8678205,0.64463675,6,0.5068734,0.08447891,6,5.541746,0.9236244,6
2025-12-11 13:39:26.167621,6,Rembesdalskaaka,train,3.0206318,48.001682,1.3061651,36.750088,14.865333,0.40261245,36.922188,43.303185,1.1728228,36.922188,0.0038263525,6.3188252,0.35104585,18,4.878434,0.27102414,18,13.139646,0.7299803,18
2025-12-11 13:39:26.247623,6,Rembesdalskaaka,val,2.434124,7.4891663,1.2667005,5.912342,0.9401934,0.10957219,8.580585,9.864669,0.8920106,11.058914,0.005350239,3.7381535,0.6230256,6,0.50810754,0.084684595,6,5.3831606,0.89719343,6
2025-12-11 13:39:27.098645,7,Rembesdalskaaka,train,2.9739313,47.205086,1.284489,36.750088,14.811802,0.40116262,36.922188,42.495163,1.1509384,36.922188,0.005350239,6.088423,0.33824572,18,4.9030194,0.27238998,18,12.766908,0.7092727,18
2025-12-11 13:39:27.173316,7,Rembesdalskaaka,val,2.381501,7.309874,1.2363755,5.912342,0.9296546,0.10834397,8.580585,9.656776,0.873212,11.058914,0.0071048834,3.6625552,0.6104259,6,0.49678344,0.082797244,6,5.2285404,0.8714234,6
2025-12-11 13:39:27.844890,8,Rembesdalskaaka,train,2.9261029,46.51722,1.2657716,36.750088,14.585946,0.39504555,36.922188,41.696945,1.1293194,36.922188,0.0071048834,5.9322968,0.32957205,18,4.8620462,0.27011368,18,12.400697,0.6889276,18
2025-12-11 13:39:27.922373,8,Rembesdalskaaka,val,2.3377824,7.1800795,1.2144222,5.912342,0.9143027,0.10655483,8.580585,9.452382,0.85472965,11.058914,0.009063652,3.626254,0.6043757,6,0.47722393,0.079537325,6,5.077241,0.84620684,6
2025-12-11 13:39:28.596390,9,Rembesdalskaaka,train,2.877522,45.90208,1.2490332,36.750088,14.2404995,0.38568947,36.922188,40.907433,1.1079363,36.922188,0.009063652,5.828882,0.3238268,18,4.7746844,0.26526025,18,12.040301,0.6689056,18
2025-12-11 13:39:28.679181,9,Rembesdalskaaka,val,2.3007114,7.085688,1.1984571,5.912342,0.8966411,0.1044965,8.580585,9.250979,0.8365179,11.058914,0.011229067,3.6187322,0.60312206,6,0.45327523,0.07554588,6,4.928653,0.8214421,6
2025-12-11 13:39:29.360146,10,Rembesdalskaaka,train,2.8287172,45.342186,1.233798,36.750088,13.813413,0.37412226,36.922188,40.12555,1.0867598,36.922188,0.011229067,5.763584,0.32019913,18,4.6568384,0.25871325,18,11.68504,0.6491689,18
2025-12-11 13:39:29.437370,10,Rembesdalskaaka,val,2.2686346,7.016064,1.186681,5.912342,0.87884617,0.10242265,8.580585,9.052126,0.8185366,11.058914,0.013619088,3.632173,0.6053622,6,0.4280888,0.07134814,6,4.782242,0.79704034,6
2025-12-11 13:39:30.112322,11,Rembesdalskaaka,train,2.780175,44.824833,1.2197204,36.750088,13.335476,0.36117783,36.922188,39.350204,1.0657604,36.922188,0.013619088,5.7259083,0.31810603,18,4.5212965,0.25118315,18,11.334274,0.6296819,18
2025-12-11 13:39:30.190731,11,Rembesdalskaaka,val,2.2401664,6.962396,1.1776038,5.912342,0.862642,0.10053417,8.580585,8.855419,0.8007494,11.058914,0.016250378,3.6600246,0.6100041,6,0.40416235,0.06736039,6,4.6375246,0.7729208,6
2025-12-11 13:39:30.860673,12,Rembesdalskaaka,train,2.7322943,44.338936,1.2064987,36.750088,12.832622,0.34755853,36.922188,38.58045,1.0449123,36.922188,0.016250378,5.7073517,0.3170751,18,4.378584,0.24325466,18,10.987456,0.61041427,18
2025-12-11 13:39:30.937092,12,Rembesdalskaaka,val,2.2139525,6.916464,1.1698349,5.912342,0.8492195,0.09896989,8.580585,8.660538,0.7831273,11.058914,0.019130638,3.695958,0.615993,6,0.3833719,0.063895315,6,4.4940653,0.7490109,6
2025-12-11 13:39:31.600992,13,Rembesdalskaaka,train,2.6853626,43.87265,1.1938107,36.750088,12.327852,0.33388737,36.922188,37.81542,1.0241922,36.922188,0.019130638,5.699777,0.3166543,18,4.237622,0.23542343,18,10.644068,0.5913371,18
2025-12-11 13:39:31.677007,13,Rembesdalskaaka,val,2.188475,6.8697014,1.1619256,5.912342,0.8391404,0.09779525,8.580585,8.467119,0.76563746,11.058914,0.022258334,3.7330914,0.6221819,6,0.36694983,0.061158307,6,4.351448,0.72524136,6
2025-12-11 13:39:32.345678,14,Rembesdalskaaka,train,2.63952,43.412033,1.1812769,36.750088,11.841591,0.32071748,36.922188,37.054283,1.0035777,36.922188,0.022258334,5.694351,0.31635284,18,4.1061115,0.2281173,18,10.303657,0.57242537,18
2025-12-11 13:39:32.422739,14,Rembesdalskaaka,val,2.1619434,6.8125744,1.1522633,5.912342,0.8322369,0.0969907,8.580585,8.274927,0.74825853,11.058914,0.025628587,3.7633827,0.62723047,6,0.35542217,0.05923703,6,4.209333,0.7015555,6
2025-12-11 13:39:33.086272,15,Rembesdalskaaka,train,2.5947359,42.93979,1.1684268,36.750088,11.391767,0.30853444,36.922188,36.296352,0.98304987,36.922188,0.025628587,5.6806617,0.31559232,18,3.9908295,0.22171275,18,9.965843,0.55365795,18
2025-12-11 13:39:33.162949,15,Rembesdalskaaka,val,2.132264,6.734512,1.1390599,5.912342,0.8275205,0.09644104,8.580585,8.083706,0.7309674,11.058914,0.029237201,3.7775764,0.6295961,6,0.34852174,0.058086958,6,4.0674114,0.6779019,6
2025-12-11 13:39:33.840186,16,Rembesdalskaaka,train,2.5508437,42.436096,1.1547209,36.750088,10.994134,0.29776496,36.922188,35.54112,0.96259516,36.922188,0.029237201,5.6467495,0.3137083,18,3.8974369,0.21652427,18,9.630333,0.5350185,18
2025-12-11 13:39:33.917791,16,Rembesdalskaaka,val,2.097768,6.6275845,1.1209745,5.912342,0.8234694,0.09596892,8.580585,7.893445,0.7137631,11.058914,0.033076342,3.7683146,0.6280525,6,0.34519953,0.057533257,6,3.9255903,0.65426505,6
2025-12-11 13:39:34.584365,17,Rembesdalskaaka,train,2.507851,41.890038,1.1398622,36.750088,10.66168,0.28876078,36.922188,34.788548,0.9422125,36.922188,0.033076342,5.583345,0.31018582,18,3.828511,0.21269506,18,9.297165,0.5165092,18
2025-12-11 13:39:34.662224,17,Rembesdalskaaka,val,2.0580435,6.490489,1.0977865,5.912342,0.8187406,0.09541781,8.580585,7.704502,0.696678,11.058914,0.03712903,3.7336898,0.6222817,6,0.3440734,0.05734557,6,3.78417,0.630695,6
2025-12-11 13:39:35.342197,18,Rembesdalskaaka,train,2.4655511,41.292778,1.1236103,36.750088,10.395757,0.2815585,36.922188,34.03973,0.92193156,36.922188,0.03712903,5.4886622,0.30492568,18,3.7823162,0.21012868,18,8.966984,0.49816576,18
2025-12-11 13:39:35.424550,18,Rembesdalskaaka,val,2.0119915,6.3183312,1.0686681,5.912342,0.81193924,0.09462517,8.580585,7.5169144,0.6797154,11.058914,0.04138293,3.669065,0.6115109,6,0.34379125,0.05729854,6,3.6431332,0.6071889,6
2025-12-11 13:39:36.112254,19,Rembesdalskaaka,train,2.4234388,40.623047,1.1053864,36.750088,10.199699,0.2762485,36.922188,33.29531,0.9017697,36.922188,0.04138293,5.357838,0.29765767,18,3.7594354,0.20885752,18,8.639895,0.4799942,18
2025-12-11 13:39:36.191804,19,Rembesdalskaaka,val,1.9596543,6.1118135,1.0337381,5.912342,0.8023806,0.09351119,8.580585,7.330933,0.66289806,11.058914,0.045829147,3.5747046,0.5957841,6,0.343271,0.05721183,6,3.5026884,0.5837814,6
2025-12-11 13:39:36.865389,20,Rembesdalskaaka,train,2.3816292,39.88909,1.0854149,36.750088,10.069031,0.2727095,36.922188,32.556103,0.88174903,36.922188,0.045829147,5.192904,0.28849468,18,3.7575622,0.20875345,18,8.316339,0.46201882,18
2025-12-11 13:39:36.944264,20,Rembesdalskaaka,val,1.9023025,5.8777328,0.9941463,5.912342,0.7903769,0.09211224,8.580585,7.146887,0.64625573,11.058914,0.05046608,3.45428,0.57571334,6,0.3419208,0.0569868,6,3.3631246,0.56052077,6
