timestamp,epoch,glacier,subset,loss,total_annual_error,total_annual_n,total_annual_mse,point_annual_error,point_annual_n,point_annual_mse,total_winter_error,total_winter_n,total_winter_mse,point_winter_error,point_winter_n,point_winter_mse,total_summer_error,total_summer_n,total_summer_mse,point_summer_error,point_summer_n,point_summer_mse,reg_ti_corr_acc,reg_ti_corr_n,reg_ti_corr,reg_ti
2025-11-27 10:20:12.347587,0,Dyngjujokull,val,5.2806797,16.640772,23,0.7235118,127.80955,58.781544,2.174314,2.2790082,15,0.15193388,3.3974626,59.354633,0.057240058,19.061058,16,1.1913161,135.58264,61.42556,2.2072673,19.047018,30,0.6349006,0.00028160497
2025-11-27 10:20:53.878462,0,Kongsvegen,val,0.61971956,5.3645964,13,0.41266128,0,0,,0.34705713,13,0.026696704,0,0,,6.80693,13,0.52361,0,0,,12.032246,23,0.52314115,0.00028160497
2025-11-27 10:21:59.004709,0,Nigardsbreen,val,3.4305806,18.716518,30,0.62388396,359.9263,208.07549,1.7297871,7.536949,29,0.2598948,125.92184,195.505,0.644085,4.6511483,29,0.16038443,131.75809,190.24286,0.6925784,7.7829685,30,0.2594323,0.00028160497
2025-11-27 10:22:44.824722,0,Argentiere,val,1.202491,11.850812,30,0.39502707,311.96533,370.46207,0.84209794,0,0,,0,0,,0,0,,0,0,,9.618263,30,0.3206088,0.00028160497
2025-11-27 10:23:22.472710,0,Plaine Morte glacier de La,val,2.9178882,9.598776,15,0.63991845,53.18579,68.0,0.782144,2.4679506,15,0.16453005,16.640205,179.41893,0.092744984,16.527176,15,1.1018118,26.196201,16.0,1.6372626,6.444865,30,0.21482885,0.00028160497
2025-11-27 10:24:27.045303,0,Austdalsbreen,val,1.2869776,10.786005,30,0.35953352,37.332268,72.92214,0.5119469,5.5831604,29,0.19252278,16.988186,80.800255,0.21024916,4.447941,29,0.15337726,16.466045,73.15236,0.22509247,8.065924,30,0.26886413,0.00028160497
2025-11-27 10:24:40.593113,0,Kesselwand F,val,1.1292434,6.4747334,30,0.21582446,170.72865,178.52487,0.9563298,0,0,,0,0,,0,0,,0,0,,4.531487,30,0.15104957,0.00028160497
2025-11-27 10:25:33.858432,0,Gietro,val,3.8751106,18.903168,30,0.6301056,750.46643,209.85342,3.5761456,1.6326088,25,0.06530435,0,0,,22.44788,25,0.8979152,0,0,,4.1805253,30,0.13935085,0.00028160497
2025-11-27 10:26:20.756328,0,Malavalle Vedr DI Uebeltalf,val,1.7827394,4.9063506,23,0.2133196,458.15143,504.0,0.9090307,0.85226154,20,0.042613078,12.265821,162.0,0.075714946,5.7075806,20,0.28537902,81.98242,162.0,0.50606436,7.1254992,30,0.23751666,0.00028160497
2025-11-27 10:26:57.812313,0,Ries Occ Vedr DI Rieserf Westl,val,0.9794589,3.6862736,16,0.2303921,111.58915,287.18103,0.38856727,1.6986818,13,0.13066784,7.290334,95.38864,0.0764277,1.6871206,13,0.1297785,28.393478,96.0,0.2957654,5.079994,30,0.16933315,0.00028160497
2025-11-27 10:27:05.300384,0,Kessjen,val,0.30678722,0.23739266,1,0.23739266,0,0,,0.07376197,1,0.07376197,0,0,,0.5758093,1,0.5758093,0,0,,0.21780923,1,0.21780923,0.00028160497
